title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82.0,80,comedy,no restriction
Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,,82,"crime,mystery,thriller,drama",no restriction
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80,"Medical drama, Romantic drama, Comedy-drama, Ensemble drama",14+
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98.0,80,Serial dramaCrime dramaAction thriller,14+
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94.0,80,"Sitcom, Romantic comedy",no restriction
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80,"Action, Adventure, Drama, Fantasy, Horror, Mystery",14+
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97.0,80,"Crime drama, Thriller, Neo-Western, Black comedy, Tragedy",17+
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91.0,80,"Drama, Supernatural, Horror, Fantasy",14+
The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98.0,80,"Horror, Neo-Western, Serial drama, Zombie apocalypse",17+
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80,"Crime thriller, Mystery, Teen drama",14+
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98.0,80,"Fantasy, Adventure, Drama",no restriction
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80,"Crime, Mystery, Comedy-drama",14+
Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77.0,80,,14+
Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88.0,80,Anime&Manga,no restriction
The Hunter,R,language and brief violence,100,2011,,82,"mystery,thriller",no restriction
Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10,2009,,82,,no restriction
Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96.0,80,"Superhero, Drama, Action, Crime, Mystery",14+
Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80.0,80,"Science fiction, Satire, Dystopia, Anthology, Black comedy",17+
The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80,"Horror, Fantasy, Supernatural",14+
The 100,NR,This movie has not been rated.,124,2016,97.0,80,"Action, Drama, Dystopian, Post-apocalyptic, Science fiction",no restriction
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80,"Adventure, Comedy",no restriction
"ÃÃ Pai, ÃÃ - Look at This",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2007,,82,,17+
Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,,82,,no restriction
Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57.0,80,,no restriction
Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80,"Action, Drama, Neo-blaxploitation, Neo-Western, Superhero",17+
Marvel's Iron Fist,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,98.0,80,"Action, Drama, Martial arts, Superhero",17+
Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94.0,80,"Crime drama, Biographical",17+
The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98.0,80,Action&Adventure,no restriction
The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Anime&Manga,14+
Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,"Anthology, Slasher, Teen drama, Horror, Mystery",14+
The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80,,17+
OperaÃÂ¤ÃÂµes Especiais,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82,,17+
3%,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"Drama, Thriller, Science fiction",17+
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83.0,80,"Science fantasy, Adventure, Action, Comedy-drama",7+
Fearless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Crime thriller,14+
Hyena Road,R,"bloody war violence, language throughout and some sexual material",100,2015,,82,"war,drama",no restriction
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82.0,80,Horror-comedy,17+
"Sex, Love and Therapy",NR,This movie has not been rated.,124,2014,,82,,no restriction
