,title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
0,White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82.0,80,comedy,
1,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,,82,"crime,mystery,thriller,drama",
2,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80,"Medical drama, Romantic drama, Comedy-drama, Ensemble drama",14+
3,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98.0,80,Serial dramaCrime dramaAction thriller,14+
4,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94.0,80,"Sitcom, Romantic comedy",
5,Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80,"Action, Adventure, Drama, Fantasy, Horror, Mystery",14+
6,Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97.0,80,"Serial drama, Crime drama, Thriller, Neo-Western, Black comedy, Tragedy",17+
7,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91.0,80,"Drama, Supernatural, Horror, Fantasy",14+
8,The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98.0,80,"Horror, Neo-Western, Serial drama, Zombie apocalypse",17+
9,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80,"Crime thriller, Mystery, Teen drama",14+
10,Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98.0,80,"Fantasy, Adventure, Drama",
11,Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80,"Crime, Mystery, Comedy-drama",14+
12,Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77.0,80,Anime&Manga,14+
13,Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88.0,80,Anime&Manga,
14,The Hunter,R,language and brief violence,100,2011,,82,"mystery,thriller",
15,Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10,2009,,82,,
16,Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96.0,80,"Superhero, Drama, Action, Crime, Mystery",14+
17,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80.0,80,"Science fiction, Dystopia, Satire, Anthology, Thriller, Drama, Black comedy",17+
18,The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80,"Horror, Fantasy, Supernatural",14+
19,The 100,NR,This movie has not been rated.,124,2016,97.0,80,"Action, Drama, Dystopian, Post-apocalyptic, Science fiction",
20,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80,"Adventure, Comedy",
